OBJECT_NAME,OrbitalRadius[km],Inclination[deg],RAAN[deg],MeanAnomaly[deg]
KUIPER-00118,7007.6715527227,51.8986,107.3552,266.8384
KUIPER-00119,7007.63431277868,51.9014,94.8862,253.0831
KUIPER-00120,7007.68521517427,51.8995,343.7238,281.2534
KUIPER-00132,6816.64127953923,51.856,252.492,47.419
KUIPER-00133,7007.66217403121,51.9049,343.9691,235.5617
KUIPER-00139,7017.95940539793,51.9001,314.5594,214.4881
KUIPER-00142,7007.65710431067,51.9015,326.4655,248.8728
KUIPER-00145,7007.68776268589,51.901,328.9965,247.7564
KUIPER-00147,7007.65318049216,51.8993,331.3441,244.1318
KUIPER-00148,7020.09016536913,51.9067,313.6266,200.2792
KUIPER-00150,7007.65109705094,51.9025,341.4196,254.4461
KUIPER-00151,7007.68910746991,51.9037,333.8821,252.4904
KUIPER-00152,7007.64425642982,51.9013,321.4561,231.2323
KUIPER-00153,7007.69605868774,51.9021,316.8015,263.6694
KUIPER-00155,7007.68163856025,51.9035,289.4322,247.1537
KUIPER-00156,7007.6547430741,51.9041,316.6332,249.7233
KUIPER-00163,6684.46112511662,51.8887,277.8873,195.9962
KUIPER-00165,7007.68174589017,51.9013,326.6325,256.0514
KUIPER-00166,7007.65426956433,51.9033,314.2658,247.0842
KUIPER-00167,7007.63901943582,51.8966,336.3047,255.5396
KUIPER-00168,7007.67614264239,51.9012,319.399,256.8682
KUIPER-00169,7007.66840228699,51.9035,324.1317,270.4215
KUIPER-00170,7007.69592610304,51.901,328.8224,249.142
KUIPER-00172,7007.57390664521,51.9013,311.7154,300.5792
KUIPER-00173,7007.67839972395,51.9018,323.9812,247.4108
KUIPER-00174,7007.60185252748,51.9037,319.5961,245.6121
KUIPER-00176,7007.7061951221,51.901,334.0142,265.2592
KUIPER-00101,7007.69198013277,51.8984,292.0202,256.7691
KUIPER-00113,7007.68330848803,51.8997,286.867,237.9186
KUIPER-00117,7007.68712501858,51.8978,289.5282,254.6002
KUIPER-00121,7007.67134753389,51.9008,284.365,260.5864
KUIPER-00122,7007.68109875394,51.8986,294.3868,278.8695
KUIPER-00123,7007.66520134691,51.9019,294.2515,252.5047
KUIPER-00124,7007.68895278815,51.8993,287.0025,256.4045
KUIPER-00125,7007.67384452485,51.8986,272.2693,261.4375
KUIPER-00126,7007.66095868641,51.9,291.906,252.3302
KUIPER-00127,7007.6483286019,51.902,284.4103,278.8801
KUIPER-00128,7007.68387986241,51.9017,284.85,245.4283
KUIPER-00129,7007.67209568392,51.9019,279.6569,251.1782
KUIPER-00130,7007.68335583949,51.9046,282.0482,255.4724
KUIPER-00134,6820.8140613677,51.8709,210.846,54.7353
KUIPER-00135,7007.68319168775,51.9032,282.2532,262.7765
KUIPER-00136,7007.54659552015,51.9018,279.5495,258.6943
KUIPER-00137,7007.65909305425,51.9048,277.0261,260.4794
KUIPER-00138,7007.67752214517,51.8989,274.9026,276.7444
KUIPER-00140,7007.67035947108,51.8995,277.204,261.6459
KUIPER-00141,7007.39221312027,51.903,272.2259,317.227
KUIPER-00146,7007.66981966694,51.904,274.8979,255.3844
KUIPER-00149,7007.54830324682,51.9014,269.6113,284.2892
KUIPER-00154,7007.65738210334,51.8997,267.2462,262.2573
KUIPER-00157,7007.6606903636,51.9019,269.8894,261.3425
KUIPER-00144,7007.62253512196,51.9004,346.1389,269.0271
KUIPER-00164,7018.30331913871,51.9045,357.9459,172.8273
KUIPER-00175,6969.08515993932,51.8963,345.5488,293.5816
KUIPER-00179,7007.68057157478,51.8992,356.1689,253.283
KUIPER-00181,7007.41563713275,51.9034,8.457,226.7208
KUIPER-00183,6967.69210652539,51.8948,343.7552,328.0512
KUIPER-00184,7007.64328100343,51.9005,351.2966,272.8264
KUIPER-00186,7007.6755775831,51.9035,11.0056,246.3913
KUIPER-00187,7007.6778725453,51.9044,11.1499,254.2431
KUIPER-00188,7007.66094290271,51.9048,339.0326,283.3781
KUIPER-00191,7007.70778298792,51.9021,3.4598,281.6414
KUIPER-00196,6981.6192250123,51.8983,319.5832,1.2889
KUIPER-00204,7007.87262918864,51.9022,336.8559,222.6653
KUIPER-00210,7007.67572595061,51.9004,3.5633,260.0618
KUIPER-00221,7007.68394931124,51.9042,10.9717,253.3505
KUIPER-00232,7007.6711612856,51.9005,356.0783,247.3775
KUIPER-00241,7007.6746305566,51.9049,5.965,250.4931
KUIPER-00245,7007.67558073985,51.9031,13.5142,257.0483
KUIPER-00246,7007.67553654528,51.9015,358.5485,247.0784
KUIPER-00247,7007.69362165573,51.8956,348.7835,257.225
KUIPER-00248,7018.10858793858,51.9002,331.1211,299.6096
KUIPER-00249,7007.66956081354,51.8995,346.3207,250.7268
KUIPER-00250,7007.65675706987,51.8991,1.1979,254.5004
KUIPER-00251,7007.68096932671,51.9014,349.2998,182.0086
KUIPER-00252,7007.66923882518,51.9006,351.1653,259.1886
KUIPER-00261,7007.65774197115,51.9034,1.1128,250.1687
KUIPER-00265,7007.65103707311,51.9034,16.0092,258.0721
KUIPER-00159,6829.74049465585,51.8843,113.2081,318.1103
KUIPER-00160,6828.56063081305,51.8819,113.1657,310.0686
KUIPER-00177,7007.68873497099,51.8994,144.3264,276.8385
KUIPER-00178,7018.53873137592,51.899,146.4979,322.6442
KUIPER-00180,7007.66736056052,51.8971,141.2352,290.82
KUIPER-00197,7019.09850926857,51.8986,119.585,255.2561
KUIPER-00198,7007.69422775675,51.8981,132.0561,262.8099
KUIPER-00199,6835.25487581213,51.8818,112.4258,312.3318
KUIPER-00200,6907.68340126758,51.887,117.8848,193.3646
KUIPER-00203,7007.68311592542,51.9046,149.3779,301.6551
KUIPER-00205,6971.01166237461,51.8973,113.718,291.52
KUIPER-00208,7018.6985075764,51.8965,141.2245,332.687
KUIPER-00209,7007.62527197854,51.8966,139.3809,354.5428
KUIPER-00213,7007.68526568253,51.8946,137.0108,280.1938
KUIPER-00214,7007.65713272128,51.899,134.647,288.7366
KUIPER-00215,7018.77188148197,51.8979,121.3955,322.4146
KUIPER-00218,7018.74912306949,51.8959,154.3718,301.5502
KUIPER-00220,6912.675890703,51.8899,115.2233,302.4891
KUIPER-00222,7007.66298531362,51.8973,132.0536,313.7151
KUIPER-00223,7007.69719197148,51.9001,124.4534,273.098
KUIPER-00225,7007.88084365597,51.897,129.6508,240.2087
KUIPER-00226,6875.0718604768,51.8796,119.0906,308.0453
KUIPER-00259,7007.516399549,51.897,128.547,94.293
KUIPER-00260,7016.94692325823,51.8995,131.4453,299.7756
KUIPER-00262,7007.43548819753,51.9003,127.045,279.9719
KUIPER-00266,7007.60180202073,51.8989,126.4745,275.9877
KUIPER-00268,7007.60326040377,51.903,122.024,263.1977
KUIPER-00270,6918.47449682111,51.8932,112.5336,76.8932
KUIPER-00274,7007.72295141351,51.8999,134.4208,246.7557
KUIPER-00275,6963.15575013664,51.9182,114.0066,317.9912
KUIPER-00276,6950.0704153544,51.8988,119.1765,45.8004
KUIPER-00279,6878.99881932862,51.8848,111.1392,325.938
KUIPER-00131,7007.68628531827,51.8992,208.0258,275.2727
KUIPER-00189,7018.93573101683,51.8976,227.669,43.0451
KUIPER-00192,7007.68279709227,51.8983,203.7201,275.9903
KUIPER-00193,6984.65039683084,51.8979,193.1099,269.0733
KUIPER-00194,7007.93128328613,51.9007,201.0658,25.2372
KUIPER-00229,7018.81401719994,51.902,225.4706,126.6414
KUIPER-00230,6830.50583509751,51.876,190.5434,334.5115
KUIPER-00231,6830.70171511185,51.874,188.3099,330.6112
KUIPER-00234,7018.42521679328,51.8975,200.4942,198.7189
KUIPER-00236,6831.73691644101,51.8763,188.4281,350.3315
KUIPER-00244,6966.16527565682,51.895,191.2258,144.1091
KUIPER-00253,6993.97871525059,51.9006,193.6425,230.1732
KUIPER-00254,7007.73787053194,51.9007,196.0637,121.0222
KUIPER-00263,6829.54928924012,51.8751,190.4885,355.1945
KUIPER-00269,6852.03619714538,51.8769,188.17,231.2048
KUIPER-00272,7007.66167842301,51.897,203.5661,308.2085
KUIPER-00285,6861.01943204237,51.8784,188.2279,165.0661
KUIPER-00286,6831.99598766645,51.8729,188.295,357.3268
KUIPER-00289,6918.37117877521,51.8799,190.2338,187.2779
KUIPER-00290,6904.92194091986,51.8816,190.1066,343.8668
KUIPER-00293,7007.51664260538,51.8963,203.0235,312.8693
KUIPER-00294,6877.52941102445,51.8739,189.2495,45.991
KUIPER-00296,6829.61199674795,51.8682,190.6949,344.4952
KUIPER-00297,7018.74840999034,51.8982,197.8175,255.7879
KUIPER-00300,7013.78228349488,51.9017,194.6351,319.4741
KUIPER-00301,6829.70813428159,51.8631,190.6729,337.3926
KUIPER-00304,6830.46412383404,51.8637,188.8579,342.516
KUIPER-00317,6885.94092639076,51.8791,189.0882,74.8379
KUIPER-00320,6954.04919533705,51.8901,191.7189,155.4965
KUIPER-00299,6992.48513995,51.9275,259.054,337.3328
KUIPER-00353,6831.784983672,51.884,255.0034,32.8567
KUIPER-00357,6916.60023263591,51.8909,255.1219,173.2369
KUIPER-00364,6949.37068306586,51.892,256.4361,298.7582
KUIPER-00375,6842.07280523889,51.8846,253.579,238.5555
KUIPER-00433,7013.98499771155,51.9005,284.7606,281.5082
KUIPER-00437,6830.52800714211,51.8797,255.18,57.9343
KUIPER-00448,6876.00053035909,51.8875,254.5149,117.5815
KUIPER-00459,6839.92843467019,51.8709,255.7652,56.4357
KUIPER-00468,6831.24203250434,51.8817,255.0931,75.7622
KUIPER-00476,6836.81900493886,51.875,255.7103,63.1661
KUIPER-00478,6830.91259104913,51.8787,255.5376,53.894
KUIPER-00480,6829.9030542047,51.8769,255.1285,65.3197
KUIPER-00482,6864.57349764736,51.8868,253.9779,46.7705
KUIPER-00483,7018.18993448152,51.8995,263.7608,227.2981
KUIPER-00488,6836.58168262412,51.867,255.7292,46.5468
KUIPER-00489,6836.46308557139,51.8755,255.7047,53.5022
KUIPER-00499,6839.85499302917,51.8695,255.7893,56.3295
KUIPER-00500,7007.26602478955,51.9008,261.0628,301.4618
KUIPER-00502,6829.41642571139,51.8799,255.0944,62.2648
KUIPER-00503,6989.84494561777,51.8981,258.6669,318.0497
KUIPER-00504,7018.48894993989,51.9026,287.1075,262.3317
KUIPER-00505,6957.75148151558,51.8997,256.4929,132.7768
KUIPER-00507,6830.15646852915,51.8836,254.9969,334.8949
KUIPER-00511,6830.14510569473,51.8781,255.149,62.9163
KUIPER-00512,6987.34307797128,51.9006,258.6775,88.4393
KUIPER-00519,6851.08447734003,51.8853,253.6435,126.8622
KUIPER-00521,6828.3261547178,51.8841,255.2587,47.712
KUIPER-00524,6866.55166837011,51.889,254.0062,351.6089
KUIPER-00370,6859.57186838765,51.8757,82.0884,217.034
KUIPER-00380,6847.18598431101,51.8763,83.5002,233.4281
KUIPER-00386,6836.07158414935,51.8745,82.7735,194.4682
KUIPER-00388,6860.44223620309,51.8767,82.2221,225.671
KUIPER-00405,6854.05258445249,51.8766,82.8202,216.9915
KUIPER-00408,6859.68795375286,51.879,82.0945,221.3305
KUIPER-00409,6847.01954658812,51.8748,79.3861,136.6827
KUIPER-00410,6859.40504205838,51.877,84.2549,220.8127
KUIPER-00412,6833.59070918453,51.8781,80.4683,176.2899
KUIPER-00413,6859.15784963327,51.8768,84.4264,211.8728
KUIPER-00414,6939.8211274871,51.8931,82.1196,174.9351
KUIPER-00415,6849.48011334278,51.8792,81.3678,233.4974
KUIPER-00416,6832.92575168123,51.875,82.2998,213.9711
KUIPER-00420,6836.30693049116,51.8784,82.8003,212.8574
KUIPER-00421,6848.34516823045,51.878,81.2057,222.5925
KUIPER-00425,6859.54765238458,51.8765,82.0887,218.618
KUIPER-00430,6857.86025579363,51.8808,84.3323,221.8449
KUIPER-00431,6860.03164789868,51.8766,82.2356,223.6654
KUIPER-00432,6854.75659148976,51.8751,82.7653,221.7325
KUIPER-00434,6845.52082948494,51.8728,82.0464,238.4518
KUIPER-00436,6847.29411913922,51.8775,81.3474,218.8556
KUIPER-00438,6845.28872623903,51.8747,82.0742,216.1721
KUIPER-00439,6846.60957262195,51.8777,83.1771,219.2126
KUIPER-00440,6842.13300541535,51.8801,82.9948,201.9178
KUIPER-00442,6840.7018783787,51.879,82.9996,226.803
KUIPER-00446,6840.80566172583,51.8761,82.9808,228.3147
KUIPER-00451,6861.20357716754,51.8814,82.1497,228.9968
KUIPER-00452,6835.76937286077,51.8758,82.7672,231.1807
KUIPER-00453,6833.50055612124,51.8752,80.4517,192.9122
KUIPER-00454,6865.82529481588,51.8759,84.8472,233.1451
KUIPER-00455,6859.43796482671,51.8768,84.4418,223.6972
KUIPER-00458,6835.92080068558,51.8769,78.6668,210.791
KUIPER-00282,6840.18316331323,51.8587,64.691,188.4081
KUIPER-00383,6840.28752428075,51.8592,64.6721,188.1515
KUIPER-00527,6838.94605817975,51.8616,64.9617,194.4019
KUIPER-00562,6828.45851253179,51.8736,64.4673,259.0085
KUIPER-00570,6839.10059964219,51.8576,64.6573,183.7385
KUIPER-00572,6833.22350813083,51.8677,64.8964,197.4937
KUIPER-00581,6834.33059656403,51.8657,64.9175,193.7836
KUIPER-00584,6839.14151018614,51.8606,64.988,182.0436
KUIPER-00587,6834.18772775045,51.863,64.9119,190.3407
KUIPER-00590,6830.54496496913,51.8699,64.8385,210.3934
KUIPER-00592,6829.95870333679,51.8723,64.5085,235.2071
KUIPER-00593,6830.17212136985,51.8725,64.5117,214.2274
KUIPER-00594,6828.34317876569,51.8728,64.4641,288.3609
KUIPER-00595,6828.65231357602,51.8728,64.4793,236.3285
KUIPER-00596,6839.8736340293,51.8554,64.6588,185.0213
KUIPER-00597,6833.18334401609,51.866,64.8863,196.8489
KUIPER-00599,6832.10755011447,51.8698,64.8711,204.6134
KUIPER-00600,6834.03997146482,51.8646,64.9089,194.2732
KUIPER-00601,6831.30785329241,51.8716,64.8514,215.0898
KUIPER-00602,6829.77906592832,51.8713,64.5038,222.3982
KUIPER-00603,6831.5511608039,51.8683,64.8596,208.7922
KUIPER-00605,6833.10084211875,51.8666,64.8898,201.1797
KUIPER-00606,6831.01540230151,51.8705,64.8438,216.4101
KUIPER-00607,6831.93349797608,51.8688,64.8654,206.6127
KUIPER-00608,6838.20499829283,51.8606,64.9458,192.1925
KUIPER-00610,6829.16811125076,51.8732,64.4884,231.4815
KUIPER-00613,6838.63722121074,51.8631,64.661,183.5599
KUIPER-00618,6828.40354782974,51.8733,64.4645,278.4352
KUIPER-00620,6829.39082932767,51.873,64.4856,244.3113
