ObjectName,OrbitalRadius[km],Inclination[deg],RAAN[deg],Anomaly[deg]
STARLINK-1357,6736.16633307412,53.0449,283.106,228.2517
STARLINK-1361,6754.15320029166,53.0428,323.4687,57.6671
STARLINK-1376,6827.3445608402,53.1574,343.9274,221.7622
STARLINK-1320,6683.13579504419,53.0386,219.0985,86.8656
STARLINK-1321,6752.10128681188,53.0424,308.5437,112.0774
STARLINK-1331,6752.49910559287,53.0456,314.0882,233.7497
STARLINK-1333,6836.47615132261,53.1575,345.6082,143.0886
STARLINK-1335,6831.32655754951,53.1547,342.1391,201.7579
STARLINK-1337,6721.10279956254,53.0452,302.8662,256.9646
STARLINK-1347,6738.82209896467,53.0388,275.4599,240.9007
STARLINK-1364,6736.61929439227,53.0439,311.4714,34.1611
STARLINK-1365,6764.73631971438,53.0455,345.6185,228.0172
STARLINK-1443,6844.544333967,53.1333,335.0069,270.0651
STARLINK-1446,6800.40749973233,53.0218,255.6748,116.081
STARLINK-1448,6739.51313025969,53.0438,297.7843,256.8799
STARLINK-1451,6900.38920140186,53.0514,345.9385,223.4679
STARLINK-1452,6765.2255709042,53.0257,274.9835,26.6177
STARLINK-1453,6737.43585528896,53.0396,258.5263,25.1353
STARLINK-1454,6744.23074349784,53.0435,300.2914,323.9224
STARLINK-1456,6747.61680399562,53.0424,295.0619,172.942
STARLINK-1458,6770.38997655813,53.0463,310.0979,353.1576
STARLINK-1460,6836.85999415053,53.1577,332.9128,155.5051
STARLINK-1392,6826.9732716133,53.1538,331.3678,128.8021
STARLINK-1394,6748.6834024439,53.0408,285.6525,156.9862
STARLINK-1402,6769.03885260895,53.0415,276.9597,122.5112
STARLINK-1404,6808.06675095945,53.1572,313.1735,130.2112
STARLINK-1413,6837.02347631417,53.1574,317.6823,108.4604
STARLINK-1417,6892.37713825119,53.0497,332.6765,197.3334
STARLINK-1420,6739.91488511011,53.0452,268.6826,224.4604
STARLINK-1422,6837.02059729098,53.1558,317.6193,130.7174
STARLINK-1351,6745.22237057993,53.0431,269.369,197.1611
STARLINK-1400,6748.95101801323,53.0426,270.3323,318.0112
STARLINK-1403,6840.13638640615,53.156,305.435,90.9161
STARLINK-1407,6721.93546680245,53.026,198.8792,316.4885
STARLINK-1411,6652.10550553067,53.0245,217.6836,355.6276
STARLINK-1423,6737.01523994286,53.043,268.2543,262.0533
STARLINK-1433,6738.33613893831,53.0428,265.6815,253.5861
STARLINK-1434,6838.83454603174,53.05,288.0305,299.9371
STARLINK-1465,6740.1060101441,53.0442,112.4655,304.7197
STARLINK-1471,6783.43757362479,53.0455,34.4005,219.5166
STARLINK-1480,6748.45629193996,53.0477,106.3425,304.3426
STARLINK-1500,6825.61937071171,53.0349,98.8328,225.6844
STARLINK-1504,6767.00688684738,53.0207,30.8783,234.1923
STARLINK-1506,6858.36651387296,53.0755,113.3991,192.66
STARLINK-1464,6781.71874727398,53.046,102.1028,300.9688
STARLINK-1477,6886.26258367712,53.0446,130.6943,337.1168
STARLINK-1478,6739.07834559139,53.0452,81.984,258.5235
STARLINK-1493,6749.08767481235,53.0463,91.9769,306.8299
STARLINK-1494,6557.40126932099,53.026,17.2308,99.1538
STARLINK-1502,6757.3906576743,53.0445,99.9959,333.5854
STARLINK-1470,6836.44937001235,53.0441,80.1099,300.0237
STARLINK-1482,6828.81761958908,53.1569,98.3361,305.9747
STARLINK-1496,6738.31925821441,53.0465,66.0772,167.2453
STARLINK-1513,6848.94068391921,53.1605,102.6847,274.9469
STARLINK-1522,6903.82771546398,53.0643,46.5836,290.3152
STARLINK-1523,6851.44045296187,53.1629,35.1269,238.4539
STARLINK-1526,6853.33564745989,53.1624,35.1808,270.3193
STARLINK-1555,6853.34173850246,53.1613,34.9345,260.1386
STARLINK-1556,6853.37918975425,53.1577,35.0293,235.2609
STARLINK-1557,6853.37841343355,53.1583,35.0107,289.2933
STARLINK-1558,6853.37379731574,53.1584,34.9746,234.1734
STARLINK-1560,6853.33732846686,53.1602,35.0483,260.6921
STARLINK-1569,6853.35648843611,53.1621,34.9531,256.5948
STARLINK-1582,6848.86064179393,53.162,34.2327,262.9767
STARLINK-1591,6853.29017407469,53.1607,35.1143,263.3846
STARLINK-1524,6848.88770579262,53.1617,21.9814,278.3178
STARLINK-1527,6848.85865947608,53.1606,21.6802,288.6881
STARLINK-1540,6848.85815569929,53.1594,21.9521,268.0145
STARLINK-1541,6688.67634986356,53.1563,2.5604,62.4035
STARLINK-1543,6848.82210758063,53.1609,21.8985,263.3331
STARLINK-1548,6848.85037548966,53.1594,21.8987,288.2341
STARLINK-1554,6848.88954802628,53.1602,21.9317,287.9857
STARLINK-1564,6853.36149566848,53.1627,22.9716,280.718
STARLINK-1570,6848.88378583353,53.1613,21.6828,267.0597
STARLINK-1572,6853.39838286066,53.1618,22.5002,264.8262
STARLINK-1573,6848.77667623967,53.1602,21.7159,250.5956
STARLINK-1577,6848.86720282909,53.1616,21.58,271.8714
STARLINK-1583,6848.85167815157,53.162,22.3199,283.1232
STARLINK-1536,6848.86015888328,53.1579,9.7004,263.8358
STARLINK-1542,6848.85693948116,53.1606,12.5552,277.6001
STARLINK-1549,6854.20373061429,53.0492,9.879,209.9835
STARLINK-1551,6848.96534896709,53.1573,9.0191,341.3248
STARLINK-1552,6848.86971277945,53.1604,9.3287,261.7644
STARLINK-1559,6827.21483883659,53.0253,338.8374,239.0243
STARLINK-1566,6848.84709648072,53.1608,9.1605,264.4614
STARLINK-1568,6780.59294111176,53.0593,287.5205,296.5515
STARLINK-1578,6848.85981309546,53.16,9.6544,260.1106
STARLINK-1579,6848.86056130881,53.1598,9.2549,272.4195
STARLINK-1622,6686.40495704137,53.0134,99.7435,111.7402
STARLINK-1623,6717.94292590014,53.0383,138.5283,78.5213
STARLINK-1596,6763.11415588204,53.0324,125.8546,302.2017
STARLINK-1597,6719.34842405443,53.0379,179.4711,313.3486
STARLINK-1606,6651.5867500852,53.0306,130.5857,159.6148
STARLINK-1608,6834.11017953578,53.1574,216.2443,358.8743
STARLINK-1667,6664.80802158844,53.0091,98.5705,289.9464
STARLINK-1545,6681.60974357372,53.035,135.1844,86.5764
STARLINK-1595,6726.12147058247,53.0393,184.9742,322.2065
STARLINK-1598,6727.21498326857,53.0413,170.9518,10.7897
STARLINK-1626,6717.11636439301,53.0378,177.8387,287.7691
STARLINK-1633,6692.32568579641,53.0317,137.2355,327.076
STARLINK-1635,6671.38755541267,53.0319,134.7672,29.9778
STARLINK-1640,6725.54104982604,53.039,182.6646,322.3177
STARLINK-1641,6756.16284594701,53.0455,177.7335,307.2167
STARLINK-1654,6578.65427607621,53.0212,202.9277,33.2373
STARLINK-1695,6726.56063697283,53.0397,222.1087,350.1663
STARLINK-1719,6699.8464998088,53.0317,218.5861,140.0766
STARLINK-1759,6688.93876129899,53.011,208.0327,125.9063
STARLINK-1762,6827.63568143371,53.1546,278.085,87.323
STARLINK-1764,6572.66046915181,53.0159,188.5627,31.1707
STARLINK-1547,6673.84650248521,53.0253,153.4972,243.2057
STARLINK-1553,6818.86327073406,53.0347,208.1834,292.4917
STARLINK-1646,6709.22760233124,53.0365,215.7881,141.5743
STARLINK-1653,6710.96493200382,53.0356,201.9351,144.3514
STARLINK-1656,6736.71743579827,53.0398,244.6569,59.033
STARLINK-1661,6826.91692033808,53.1554,278.0589,114.7895
STARLINK-1665,6649.29494880683,53.0292,211.1542,330.565
STARLINK-1666,6699.16398307867,53.0325,213.1671,252.0178
STARLINK-1707,6677.30496769156,53.0138,149.0401,254.682
STARLINK-1724,6732.08953825847,53.0196,171.9985,8.7352
STARLINK-1770,6712.69963896346,53.036,194.6654,13.7771
STARLINK-1771,6756.75995075358,53.0368,238.7012,337.306
STARLINK-1663,6655.72227163633,53.029,9.2515,30.2265
STARLINK-1672,6758.35149331767,53.0446,27.5873,279.6827
STARLINK-1678,6681.09479346923,53.0308,347.3155,86.2168
STARLINK-1664,6791.83748917999,53.0437,29.9789,220.4998
STARLINK-1676,6735.37517266656,53.0385,30.6436,256.9792
STARLINK-1679,6688.88401273831,53.0388,3.629,213.9086
STARLINK-1714,6727.40278342551,53.0378,1.7346,225.8138
STARLINK-1730,6756.43639299511,53.0259,14.0931,93.9999
STARLINK-1735,6671.48492667601,53.0317,355.3951,353.6186
STARLINK-1741,6665.38481599543,53.0323,352.6998,162.0349
STARLINK-1531,6671.71360957633,53.0444,14.5678,223.1057
STARLINK-1677,6632.31945532164,53.0208,358.1426,95.2896
STARLINK-1728,6716.85609567278,53.0345,8.7786,357.9879
STARLINK-1736,6566.37833107604,53.019,345.701,76.7219
STARLINK-1716,6654.97379220838,53.0329,74.9389,346.918
STARLINK-1718,6716.25575933356,53.0412,109.9106,321.5142
STARLINK-1781,6724.92762442371,53.0418,125.8306,333.5978
STARLINK-1784,6680.81047302053,53.0361,63.3611,278.8889
STARLINK-1788,6686.9232053733,53.0309,94.8251,229.1693
